Source,Target
costumes,país
país,continentes
continentes,conseguimos
conseguimos,superar
superar,momentos
momentos,difíceis
difíceis,vivemos
vivemos,país
país,conseguiu
conseguiu,passar
passar,guerras
guerras,confrontos
confrontos,sabem
sabem,lutas
lutas,grandes
grandes,tivemos
tivemos,revolta
revolta,alfaiates
alfaiates,inconfidência
inconfidência,mineira
mineira,revoluções
revoluções,aada
aada,querido
querido,estado
estado,guerra
guerra,sul
sul,país
país,famosas
famosas,diretas
diretas,povo
povo,vez
vez,chegamos
chegamos,posse
posse,Parlamento
Parlamento,estudou
estudou,aprovou
aprovou,carta
carta,constituinte
constituinte,discurso
discurso,posse
posse,Presidente
Presidente,disse
disse,ecoaram
ecoaram,ruas
ruas,ouviu
ouviu,ruas
ruas,nação
nação,queria
queria,mudar
mudar,nação
nação,Precisava
Precisava,mudar
mudar,fazer
fazer,parte
parte,passaram-se
passaram-se,meses
meses,ano
ano,outubro
outubro,discurso
discurso,promulgação
promulgação,disse
disse,povo
povo,brasileiro
brasileiro,disse
disse,carta
carta,perfeita
perfeita,perfeita
perfeita,admitia
admitia,reformas
reformas,admitia
admitia,melhorada
melhorada,dizia
dizia,povo
povo,brasileiro
brasileiro,congressistas
congressistas,respeitar
respeitar,discordar
discordar,podemos
podemos,podemos
podemos,coisas
coisas,rasgá-la
rasgá-la,traí-la
traí-la,lembrou
lembrou,momento
momento,povo
povo,brasileiro
brasileiro,adentrava
adentrava,entradas
entradas,complexo
complexo,arquitetônico
arquitetônico,pessoas
pessoas,tinham
tinham,direito
direito,contribuir
contribuir,dar
dar,sugestões
sugestões,formarmos
formarmos,carta
carta,veio
veio,vez
vez,contribuir
contribuir,fazer
fazer,parte
parte,história
história,tivemos
tivemos,lado
lado,povo
povo,brasileiro
brasileiro,momento
momento,lembramos
lembramos,verdadeiros
verdadeiros,heróis
heróis,admitir
admitir,constitui
constitui,rasgada
rasgada,brasileiros
brasileiros,defenderam
defenderam,vida
vida,defenderam
defenderam,honra
honra,posições
posições,orgulharam
orgulharam,verdadeiro
verdadeiro,trabalhismo
trabalhismo,sabemos
sabemos,custa
custa,luta
luta,tirania
tirania,luta
luta,grande
grande,momento
momento,momento
momento,dizer
dizer,Vencedor
Vencedor,vencido
vencido,sabe
sabe,povo
povo,perdemos
perdemos,perdemos
perdemos,ter
ter,capacidade
capacidade,cumprir
cumprir,constituição
constituição,risca
risca,dando
dando,escola
escola,qualidade
qualidade,paraas
paraas,crianças
crianças,saúde
saúde,povo
povo,educação
educação,gente
gente,traímos
traímos,constituição
constituição,distribuir
distribuir,renda
renda,taxar
taxar,grandes
grandes,fortunas
fortunas,poderosos
poderosos,ganham
ganham,ganham
ganham,povo
povo,Trabalhador
Trabalhador,brigamos
brigamos,taxar
taxar,bancos
bancos,lutamos
lutamos,favor
favor,Trabalhador
Trabalhador,tivemos
tivemos,trincheira
trincheira,defender
defender,direito
direito,aposentado
aposentado,trabalhador
trabalhador,país
país,venho
venho,assistindo
assistindo,ouvindo
ouvindo,dizer
dizer,dar
dar,contribuição
contribuição,lançando
lançando,candidatura
candidatura,própria
própria,entendemos
entendemos,temos
temos,quadros
quadros,suficientes
suficientes,história
história,contar
contar,luta
luta,faltar
faltar,lançar
lançar,candidato
candidato,presidente
presidente,república
república,dia
dia,urna
urna,iremos
iremos,defender
defender,constituição
constituição,dia
dia,iremos
iremos,defender
defender,votar
votar,impit
impit,ficar
ficar,dizendo
dizendo,amigo
amigo,amiga
amiga,dizendo
dizendo,brasileiro
brasileiro,brasileira
brasileira,brasileiros
brasileiros,convido
convido,plenário
plenário,dizer
dizer,brasileiro
brasileiro,solidariedade
solidariedade,fazer
fazer,fala
fala,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,repõe
repõe,tempo
tempo,solidariedade
solidariedade,favor
favor,momento
momento,deputados
deputados,fazem
fazem,gritos
gritos,guerra
guerra,plenário
plenário,gritando
gritando,favor
favor,impeach
impeach,impeach
impeach,momento
momento,dividem
dividem,deputados
deputados,assinalaram
assinalaram,presença
presença,plenário
plenário,casa
casa,Deputado
Deputado,gencias
gencias,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,brasileiro
brasileiro,assiste
assiste,momento
momento,histórico
histórico,ten
ten,observado
observado,dear
dear,tenho
tenho,dúvidas
dúvidas,discursos
discursos,atendo
atendo,relatório
relatório,deputado
deputado,fez
fez,ter
ter,crimes
crimes,praticados
praticados,presidente
presidente,cometeu
cometeu,crime
crime,responsabilidade
responsabilidade,fiscalis
fiscalis,nacional
nacional,observa
observa,discursos
discursos,governo
governo,falta
falta,argumento
argumento,buscar
buscar,convencimento
convencimento,crimes
crimes,denunciado
denunciado,praticados
praticados,continuam
continuam,lorota
lorota,golpe
golpe,insiste
insiste,atacar
atacar,vice
vice,tem
tem,presidente
presidente,casa
casa,presidente
presidente,ataques
ataques,presidente
presidente,casa
casa,in
in,sentasse
sentasse,senhora
senhora,Presidente
Presidente,há
há,há
há,golpe
golpe,ter
ter,julgamento
julgamento,justo
justo,convicção
convicção,voto
voto,impítima
impítima,presidente
presidente,praticado
praticado,traiu
traiu,população
população,brasileira
brasileira,maior
maior,estonado
estonado,político
político,praticado
praticado,país
país,enganou
enganou,vendendo
vendendo,país
país,fortalecido
fortalecido,passava
passava,peça
peça,publicitária
publicitária,mentirosa
mentirosa,custo
custo,alto
alto,resultado
resultado,saiu
saiu,resultado
resultado,eleições
eleições,vem
vem,tarifo
tarifo,energia
energia,elétrica
elétrica,aumento
aumento,combustíveis
combustíveis,crise
crise,política
política,crise
crise,econômica
econômica,crise
crise,ética
ética,crise
crise,moral
moral,falar
falar,falência
falência,setor
setor,saúde
saúde,pais
pais,família
família,filhos
filhos,braços
braços,vive
vive,agonizar
agonizar,filas
filas,hospitais
hospitais,falência
falência,total
total,saúde
saúde,pública
pública,brasileira
brasileira,crise
crise,crise
crise,ética
ética,senhor
senhor,presidente
presidente,queria
queria,proferir
proferir,discurso
discurso,preparei
preparei,falar
falar,comprometi
comprometi,presidente
presidente,partido
partido,encender
encender,parte
parte,tempo
tempo,falar
falar,queria
queria,saudar
saudar,bancada
bancada,bancada
bancada,solidariedade
solidariedade,agradecer
agradecer,votar
votar,favor
favor,impitma
impitma,país
país,crimes
crimes,cometidos
cometidos,maior
maior,brasileiros
brasileiros,solidariedade
solidariedade,vota
vota,querida
querida,vivo
vivo,doeria
doeria,quero
quero,saudar
saudar,amigos
amigos,deputados
deputados,ruas
ruas,dizer
dizer,primeiro
primeiro,partido
partido,pedir
pedir,impit
impit,fevereiro
fevereiro,saudar
saudar,amigo
amigo,desistiram
desistiram,dia
dia,histórico
histórico,dia
dia,sear
sear,tirar
tirar,presidente
presidente,governo
governo,levou
levou,país
país,maior
maior,crise
crise,história
história,empresas
empresas,fechando
fechando,roubo
roubo,generalizado
generalizado,queria
queria,aproveitar
aproveitar,minuto
minuto,tenho
tenho,pedir
pedir,pessoal
pessoal,deputados
deputados,levantar
levantar,pouquinho
pouquinho,levanta
levanta,pessoal
pessoal,queria
queria,pedir
pedir,brasileiros
brasileiros,ruas
ruas,pedir
pedir,brasileiros
brasileiros,casa
casa,gente
gente,interrompa
interrompa,favor
favor,interrompa
interrompa,Deputado
Deputado,favor
favor,interrompa
interrompa,conceder
conceder,peço
peço,respeito
respeito,orador
orador,ficar
ficar,prorrogando
prorrogando,respeito
respeito,orador
orador,minuto
minuto,excelência
excelência,zer
zer,dá
dá,minuto
minuto,quero
quero,reponha
reponha,minuto
minuto,queria
queria,brasileiros
brasileiros,inteiro
inteiro,casa
casa,pudesse
pudesse,musiquinha
musiquinha,começou
começou,processo
processo,quer
quer,leve
leve,vagabundos
vagabundos,leve
leve,vagabundos
vagabundos,leve
leve,vagabundos
vagabundos,leve
leve,vagabundos
vagabundos,peço
peço,mais
mais,vez
vez,quero
quero,alertar
alertar,dei
dei,exato
exato,cortei
cortei,segundos
segundos,quero
quero,pedir
pedir,orador
orador,lado
lado,tipo
tipo,combinamos
combinamos,tipo
tipo,manifestação
manifestação,usar
usar,orador
orador,sequência
sequência,fiquem
fiquem,falar
falar,gentileza
gentileza,fiquem
fiquem,combinado
combinado,colocamos
colocamos,primeiro
primeiro,momento
momento,chamo
chamo,chamo
chamo,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,brasileiros
brasileiros,trabalhadores
trabalhadores,país
país,melhor
melhor,casa
casa,passei
passei,quarto
quarto,filhos
filhos,anos
anos,C
C,dormindo
dormindo,semblantes
semblantes,inocentes
inocentes,característico
característico,Crianças
Crianças,imaginei
imaginei,sonhando
sonhando,deparei
deparei,realidade
realidade,iremos
iremos,viver
viver,domingo
domingo,casa
casa,veio
veio,ombros
ombros,responsabilidade
responsabilidade,decidirmos
decidirmos,entregar
entregar,pensei
pensei,mães
mães,espalhadas
espalhadas,norte
norte,sul
sul,país
país,vivem
vivem,sonhando
sonhando,vida
vida,filhos
filhos,dias
dias,pergunto
pergunto,aceitar
aceitar,tirem
tirem,sonho
sonho,povo
povo,sistema
sistema,surdo
surdo,atrasará
atrasará,esperança
esperança,vi
vi,pessoas
pessoas,descontentes
descontentes,povo
povo,desiludido
desiludido,distante
distante,jurou
jurou,representar
representar,brasileiros
brasileiros,parte
parte,ruas
ruas,grito
grito,repetido
repetido,direta
direta,protestos
protestos,cara
cara,pintada
pintada,voltou
voltou,manifestações
manifestações,vivo
vivo,vivo
vivo,tempo
tempo,filhos
filhos,acreditamos
acreditamos,podemos
podemos,mudar
mudar,juntos
juntos,curar
curar,surdez
surdez,política
política,deixar
deixar,povo
povo,decidir
decidir,futuro
futuro,ter
ter,chaves
chaves,abrir
abrir,portas
portas,velada
velada,visão
visão,Povo
Povo,povo
povo,democracia
democracia,esquecida
esquecida,virtude
virtude,pública
pública,retorno
retorno,verdadeira
verdadeira,justiça
justiça,social
social,queremos
queremos,vencer
vencer,ruas
ruas,queremos
queremos,transformar
transformar,indignação
indignação,mudança
mudança,impit
impit,queremos
queremos,ver
ver,nascer
nascer,país
país,nova
nova,política
política,muro
muro,mentiras
mentiras,ruas
ruas,diga
diga,representam
representam,queremos
queremos,pedindo
pedindo,anos
anos,transparência
transparência,participação
participação,democracia
democracia,direta
direta,lutamos
lutamos,novo
novo,olhar
olhar,futuro
futuro,nova
nova,resposta
resposta,jovem
jovem,acredita
acredita,bandeira
bandeira,partidos
partidos,silêncio
silêncio,bons
bons,honestos
honestos,oportunidade
oportunidade,passar
passar,limpo
limpo,respeitar
respeitar,leis
leis,ouvir
ouvir,vem
vem,ruas
ruas,oportunidade
oportunidade,banir
banir,vez
vez,cultura
cultura,corrupção
corrupção,pune
pune,maneira
maneira,cruel
cruel,brasileiros
brasileiros,senhor
senhor,presidente
presidente,diálogo
diálogo,bancada
bancada,inafastável
inafastável,respeito
respeito,democracia
democracia,divergência
divergência,opinião
opinião,decidimos
decidimos,lado
lado,maioria
maioria,brasileiros
brasileiros,orientamos
orientamos,deputados
deputados,mães
mães,famílias
famílias,jovens
jovens,amam
amam,país
país,digam
digam,voto
voto,senhor
senhor,presidente
presidente,voto
voto,impeachment
impeachment,podemos
podemos,mudar
mudar,obrigada
obrigada,senhor
senhor,presidente
presidente,voto
voto,voto
voto,voz
voz,povo
povo,geração
geração,próximas
próximas,virão
virão,esquecerão
esquecerão,roubalheira
roubalheira,voto
voto,corrupção
corrupção,vota
vota,impeachment
impeachment,Estado
Estado,situação
situação,ruim
ruim,santas
santas,casas
casas,geração
geração,empregos
empregos,pior
pior,problema
problema,relacionado
relacionado,diminuição
diminuição,setor
setor,educação
educação,votamos
votamos,dúvida
dúvida,começa
começa,tempo
tempo,liderança
liderança,fala
fala,deputado
deputado,senhor
senhor,presidente
presidente,senhoras
senhoras,deputadas
deputadas,senhores
senhores,deputados
deputados,situação
situação,surreal
surreal,presidenta
presidenta,pesa
pesa,denúncia
denúncia,ato
ato,ilícito
ilícito,tem
tem,mandato
mandato,ameaçado
ameaçado,conspir
conspir,corruptos
corruptos,liderada
liderada,excelência
excelência,Deputado
Deputado,dignifica
dignifica,cadeira
cadeira,ocupa
ocupa,hora
hora,cadeira
cadeira,ocupada
ocupada,conspir
conspir,presidente
presidente,debates
debates,feitos
feitos,fala
fala,relatório
relatório,apresentado
apresentado,Deputado
Deputado,joví
joví,sabem
sabem,há
há,fato
fato,há
há,crime
crime,possível
possível,constituição
constituição,cidadã
cidadã,elaborada
elaborada,plenário
plenário,luta
luta,ruas
ruas,constituição
constituição,possível
possível,admitir
admitir,processo
processo,impitma
impitma,presidenta
presidenta,recebeu
recebeu,votos
votos,brasileiros
brasileiros,fazem
fazem,debate
debate,político
político,entrar
entrar,debate
debate,político
político,querem
querem,transformar
transformar,plenário
plenário,colégio
colégio,eleitoral
eleitoral,colégio
colégio,eleitoral
eleitoral,parlamentarismo
parlamentarismo,há
há,voto
voto,desconfiança
desconfiança,legitima
legitima,acesso
acesso,poder
poder,voto
voto,popular
popular,querem
querem,usurpar
usurpar,tentam
tentam,fazer
fazer,debate
debate,político
político,passando
passando,ideia
ideia,necessário
necessário,encontrar
encontrar,país
país,país
país,crise
crise,crise
crise,econômica
econômica,crise
crise,política
política,impitma
impitma,saída
saída,saída
saída,saída
saída,governo
governo,ilegítimo
ilegítimo,governo
governo,governo
governo,votos
votos,saída
saída,povo
povo,ruas
ruas,pediu
pediu,quer
quer,governo
governo,perfil
perfil,agenda
agenda,agenda
agenda,governo
governo,nasce
nasce,maculado
maculado,mancha
mancha,ilegitimidade
ilegitimidade,agenda
agenda,futuro
futuro,túnel
túnel,passado
passado,agenda
agenda,agenda
agenda,mínimo
mínimo,agenda
agenda,desconfiam
desconfiam,impedir
impedir,corruptos
corruptos,cadeira
cadeira,possam
possam,punidos
punidos,falam
falam,vislumbra
vislumbra,entendimento
entendimento,torno
torno,lava-jato
lava-jato,governo
governo,governo
governo,dará
dará,tranquilidade
tranquilidade,brasileiros
brasileiros,levará
levará,tranquilidade
tranquilidade,tem
tem,legitimidade
legitimidade,governo
governo,exceção
exceção,tem
tem,agenda
agenda,tem
tem,interlocução
interlocução,movimento
movimento,social
social,tem
tem,base
base,política
política,dirigente
dirigente,conspirador
conspirador,vice-presidente
vice-presidente,respeito
respeito,tem
tem,glorioso
glorioso,consegue
consegue,unificar
unificar,próprio
próprio,partido
partido,base
base,governo
governo,poderia
poderia,dirigir
dirigir,processo
processo,caminho
caminho,caminho
caminho,aprofundamento
aprofundamento,crise
crise,caminho
caminho,agravamento
agravamento,crise
crise,política
política,crise
crise,econômica
econômica,país
país,quero
quero,dirigir
dirigir,ruas
ruas,desejam
desejam,defender
defender,brasileira
brasileira,defend
defend,estado
estado,direito
direito,ganhar
ganhar,batalha
batalha,golpe
golpe,passará
passará,luta
luta,continuar
continuar,abraço
abraço,momento
momento,tempo
tempo,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,primeiras
primeiras,palavras
palavras,senhor
senhor,presidente
presidente,agradecimento
agradecimento,permitir
permitir,pudéssemos
pudéssemos,momento
momento,histórico
histórico,atravessa
atravessa,agradecer
agradecer,executiva
executiva,nacional
nacional,bancada
bancada,Manteve
Manteve,firme
firme,luta
luta,vota
vota,unânime
unânime,unida
unida,impeachment
impeachment,agradecer
agradecer,família
família,sergipanas
sergipanas,sergipanos
sergipanos,nação
nação,brasileira
brasileira,dizer
dizer,presenciando
presenciando,momentos
momentos,marcantes
marcantes,democracia
democracia,atual
atual,povo
povo,brasileiro
brasileiro,ruas
ruas,pedir
pedir,basta
basta,errado
errado,acontecendo
acontecendo,grito
grito,aclamados
aclamados,brasileiros
brasileiros,ruas
ruas,capitais
capitais,cidade
cidade,distantes
distantes,rincões
rincões,país
país,gritos
gritos,revoltados
revoltados,gritos
gritos,povo
povo,aguenta
aguenta,inconformados
inconformados,arruinados
arruinados,irresponsabilidade
irresponsabilidade,governo
governo,desumano
desumano,recado
recado,dado
dado,forma
forma,povo
povo,gente
gente,fazer
fazer,papel
papel,obrigação
obrigação,decidir
decidir,futuro
futuro,nação
nação,vivendo
vivendo,momento
momento,difíceis
difíceis,crises
crises,econômicas
econômicas,história
história,vivenciando
vivenciando,maior
maior,escândalo
escândalo,corrupção
corrupção,história
história,republicana
republicana,brasileira
brasileira,ponto
ponto,vista
vista,jurídico
jurídico,bases
bases,legais
legais,falam
falam,dividido
dividido,forças
forças,antagônicas
antagônicas,lado
lado,lado
lado,brasileiros
brasileiros,esperam
esperam,viver
viver,novo
novo,tempo
tempo,lado
lado,minoria
minoria,ruidosa
ruidosa,raivosa
raivosa,quer
quer,perpetuar
perpetuar,poder
poder,abraçada
abraçada,projeto
projeto,político
político,falido
falido,acabou
acabou,dar
dar,basta
basta,definitivo
definitivo,chegou
chegou,hora
hora,hora
hora,grande
grande,decisão
decisão,ficar
ficar,lado
lado,brasileiros
brasileiros,lotam
lotam,país
país,Nordeste
Nordeste,avenida
avenida,ficar
ficar,lado
lado,governo
governo,comprometido
comprometido,malfeito
malfeito,avesso
avesso,diálogo
diálogo,destinado
destinado,fracasso
fracasso,econômico
econômico,fracasso
fracasso,moral
moral,legal
legal,reafirmou
reafirmou,disse
disse,início
início,fala
fala,domingo
domingo,faremos
faremos,história
história,decidir
decidir,futuro
futuro,nação
nação,história
história,presente
presente,futuro
futuro,presente
presente,olhar
olhar,amigos
amigos,conterrâneos
conterrâneos,elegeram
elegeram,paraas
paraas,famílias
famílias,altivez
altivez,dizer
dizer,futuro
futuro,podermos
podermos,ter
ter,certeza
certeza,escrevendo
escrevendo,belas
belas,páginas
páginas,história
história,disser
disser,contramão
contramão,fracasso
fracasso,acovardaram
acovardaram,poder
poder,ficar
ficar,lado
lado,projeto
projeto,poder
poder,falido
falido,país
país,aprovado
aprovado,processo
processo,senado
senado,passaremos
passaremos,momento
momento,reconstrução
reconstrução,Nacional
Nacional,esperanças
esperanças,voltam
voltam,presidente
presidente,missão
missão,pacificar
pacificar,reunir
reunir,brasileiros
brasileiros,contará
contará,total
total,restrito
restrito,apoio
apoio,bancada
bancada,passou
passou,casa
casa,anos
anos,Presidente
Presidente,poder
poder,vezes
vezes,reúne
reúne,qualidades
qualidades,políticas
políticas,indispensáveis
indispensáveis,juntos
juntos,construir
construir,ponte
ponte,futuro
futuro,depende
depende,Nosa
Nosa,consciência
consciência,ama
ama,país
país,ama
ama,nação
nação,ama
ama,verde
verde,amarelo
amarelo,vermelho
vermelho,cor
cor,verde
verde,amarelo
amarelo,dizendo
dizendo,futuro
futuro,país
país,dizendo
dizendo,crianças
crianças,adolescentes
adolescentes,jovens
jovens,dizendo
dizendo,idosos
idosos,dizendo
dizendo,bancada
bancada,vota
vota,impit
impit,viva
viva,acompanha
acompanha,sessão
sessão,votação
votação,parecer
parecer,pede
pede,abertura
abertura,processo
processo,impeach
impeach,presidente
presidente,fique
fique,falar
falar,fez
fez,pronunciamento
pronunciamento,partido
partido,fazer
fazer,orientação
orientação,voto
voto,tem
tem,representação
representação,senhor
senhor,presidente
presidente,dia
dia,setembro
setembro,deputado
deputado,federal
federal,fundador
fundador,Nacional
Nacional,votando
votando,impeachment
impeachment,presidente
presidente,votar
votar,impeach
impeach,presidente
presidente,passamos
passamos,últimas
últimas,horas
horas,plenário
plenário,exaurindo
exaurindo,fundamentos
fundamentos,enfrentamos
enfrentamos,falácias
falácias,governo
governo,demonstramos
demonstramos,violação
violação,lei
lei,responsabilidade
responsabilidade,podem
podem,cometidos
cometidos,detem
detem,poder
poder,citamos
citamos,deixando
deixando,gravidade
gravidade,fraudes
fraudes,fiscais
fiscais,perversidade
perversidade,adoção
adoção,economia
economia,povo
povo,brasileiro
brasileiro,reeleita
reeleita,presidente
presidente,praticou
praticou,política
política,criminosa
criminosa,falsear
falsear,contas
contas,públicas
públicas,cumprir
cumprir,promessas
promessas,eleitorais
eleitorais,culminou
culminou,tragédia
tragédia,abateu
abateu,nação
nação,destruição
destruição,indústria
indústria,nacional
nacional,falência
falência,milhares
milhares,empresas
empresas,admissão
admissão,trabalhadores
trabalhadores,grave
grave,governo
governo,destruiu
destruiu,valor
valor,moeda
moeda,destruiu
destruiu,sonho
sonho,brasileiros
brasileiros,dever
dever,Parlamento
Parlamento,soltar
soltar,chega
chega,demagogia
demagogia,populismo
populismo,brasileiro
brasileiro,quer
quer,enganado
enganado,dias
dias,mandatários
mandatários,ter
ter,emprego
emprego,renda
renda,levar
levar,vida
vida,sustentar
sustentar,família
família,impit
impit,presidente
presidente,pical
pical,lul
lul,afastamento
afastamento,década
década,caracterizada
caracterizada,incompetência
incompetência,administrativa
administrativa,aparelhamento
aparelhamento,estado
estado,roubalheira
roubalheira,generalizada
generalizada,corrupção
corrupção,associada
associada,marca
marca,faz
faz,parte
parte,indissociável
indissociável,hora
hora,retirar
retirar,organização
organização,criminosa
criminosa,poder
poder,trabalhar
trabalhar,entregantes
entregantes,punidos
punidos,chegou
chegou,hora
hora,virar
virar,página
página,aprender
aprender,lição
lição,história
história,presid
presid,presidente
presidente,caindo
caindo,verdade
verdade,conjunto
conjunto,obra
obra,perdeu
perdeu,autoridade
autoridade,moral
moral,cargo
cargo,chefe
chefe,estado
estado,exige
exige,praticou
praticou,estelionato
estelionato,eleitoral
eleitoral,reeleger
reeleger,campanhas
campanhas,irrigadas
irrigadas,dinheiro
dinheiro,sujo
sujo,contratos
contratos,superfaturados
superfaturados,obras
obras,empresas
empresas,estatais
estatais,praticou
praticou,fraudes
fraudes,fiscais
fiscais,afrontou
afrontou,acobertou
acobertou,tráfico
tráfico,influência
influência,rede
rede,corrupção
corrupção,tentou
tentou,obstruir
obstruir,justiça
justiça,libertar
libertar,presos
presos,operação
operação,lavajato
lavajato,faltou
faltou,perdeu
perdeu,legitimidade
legitimidade,petista
petista,exauriu
exauriu,populismo
populismo,fisiologismo
fisiologismo,encarar
encarar,futuro
futuro,perspectiva
perspectiva,plano
plano,queou
queou,plano
plano,ética
ética,alar
alar,gerações
gerações,futuras
futuras,comprometimento
comprometimento,pleno
pleno,funcionamento
funcionamento,instituições
instituições,único
único,caminho
caminho,fortalecer
fortalecer,democracia
democracia,coragem
coragem,brasileiros
brasileiros,retomar
retomar,sonhos
sonhos,reerguer
reerguer,phs
phs,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,nação
nação,brasileira
brasileira,ass
ass,phs
phs,partido
partido,mostra
mostra,democracia
democracia,entrar
entrar,phs
phs,saindo
saindo,convicções
convicções,otido
otido,unanimidade
unanimidade,assumi
assumi,posi
posi,aborto
aborto,eutanásia
eutanásia,infanticídio
infanticídio,ideologia
ideologia,gênero
gênero,partido
partido,senhores
senhores,deputados
deputados,fecham
fecham,questão
questão,momento
momento,temas
temas,caros
caros,cristãos
cristãos,partido
partido,dizia
dizia,determinadas
determinadas,situações
situações,liberava
liberava,bancada
bancada,tomar
tomar,posição
posição,entendesse
entendesse,questões
questões,trazíamos
trazíamos,compromisso
compromisso,bases
bases,questões
questões,humanitárias
humanitárias,dizíamos
dizíamos,gestor
gestor,tiver
tiver,dinheiro
dinheiro,construir
construir,ponte
ponte,estrada
estrada,faltar
faltar,dinheiro
dinheiro,salvar
salvar,vida
vida,pare
pare,estrada
estrada,vida
vida,importante
importante,estrada
estrada,partido
partido,humanista
humanista,tem
tem,pram
pram,poré
poré,vive
vive,decidiremos
decidiremos,Presidente
Presidente,fica
fica,Presidente
Presidente,sai
sai,partido
partido,reuniu
reuniu,executiva
executiva,reuniu
reuniu,deputados
deputados,deputados
deputados,federal
federal,partido
partido,tomou
tomou,decisão
decisão,partido
partido,votará
votará,democracia
democracia,bom
bom,imagina
imagina,líder
líder,partido
partido,vota
vota,impeachment
impeachment,partido
partido,disse
disse,posso
posso,deixar
deixar,deputado
deputado,caribou
caribou,situação
situação,difícil
difícil,sabe
sabe,história
história,passado
passado,compromisso
compromisso,liberaram
liberaram,votar
votar,votarei
votarei,impeachment
impeachment,senhores
senhores,deputados
deputados,partido
partido,humanista
humanista,deputado
deputado,votará
votará,favor
favor,deputado
deputado,companheiro
companheiro,deora
deora,votará
votará,deputado
deputado,aro
aro,votará
votará,favor
favor,deputado
deputado,votará
votará,impit
impit,deputado
deputado,votará
votará,impit
impit,deputado
deputado,federal
federal,votará
votará,quero
quero,agradecer
agradecer,partido
partido,entender
entender,posição
posição,dizendo
dizendo,situação
situação,juiz
juiz,juízo
juízo,respeitando
respeitando,bonito
bonito,podemos
podemos,discordar
discordar,pensar
pensar,jeito
jeito,precisa
precisa,brigar
brigar,precisa
precisa,rasgar
rasgar,respeita
respeita,opinião
opinião,continuarei
continuarei,lder
lder,situação
situação,bonito
bonito,democracia
democracia,Obrigado
Obrigado,comp
comp,deputados
deputados,federais
federais,dá
dá,exemplo
exemplo,pode
pode,povo
povo,possa
possa,abençoar
abençoar,iluminar
iluminar,mente
mente,vota
vota,consciência
consciência,mandar
mandar,achar
achar,entender
entender,deve
deve,votar
votar,jeito
jeito,votte
votte,achar
achar,vote
vote,estive
estive,estive
estive,disse
disse,história
história,disse
disse,tenho
tenho,direito
direito,pedir
pedir,voto
voto,sei
sei,Parabéns
Parabéns,abençoe
abençoe,chamo
chamo,minutos
minutos,deputado
deputado,galdo
galdo,cão
cão,falando
falando,liderança
liderança,phs
phs,partido
partido,falar
falar,dar
dar,orientação
orientação,voto
voto,sessão
sessão,votação
votação,admissibilidade
admissibilidade,processo
processo,deach
deach,presidente
presidente,rse
rse,momento
momento,fala
fala,Deputado
Deputado,liderança
liderança,momento
momento,fácil
fácil,país
país,atravessa
atravessa,momento
momento,difíc
difíc,homens
homens,mulheres
mulheres,gostaríamos
gostaríamos,passando
passando,momento
momento,realidade
realidade,impõe
impõe,realidade
realidade,tomou
tomou,decisão
decisão,decisão
decisão,última
última,hora
hora,decisão
decisão,faz
faz,dias
dias,unanimidade
unanimidade,favor
favor,impeachment
impeachment,encaminhamento
encaminhamento,momento
momento,dou
dou,passando
passando,palavra
palavra,deputado
deputado,gosto
gosto,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,colegas
colegas,amigos
amigos,encontramos
encontramos,recinto
recinto,independente
independente,lados
lados,temos
temos,concordância
concordância,ponto
ponto,experimentamos
experimentamos,momento
momento,histórico
histórico,país
país,momentos
momentos,históricos
históricos,homens
homens,mulheres
mulheres,revelam
revelam,mostram
mostram,fato
fato,quero
quero,dizer
dizer,honra
honra,combater
combater,bom
bom,combate
combate,lado
lado,vossas
vossas,excelências
excelências,códigos
códigos,honra
honra,contemporâneos
contemporâneos,reconhecidos
reconhecidos,mentes
mentes,corações
corações,atitudes
atitudes,representantes
representantes,povo
povo,brasileiro
brasileiro,dia
dia,senhores
senhores,há
há,anos
anos,inspirados
inspirados,honra
honra,atravesse
atravesse,amada
amada,aberta
aberta,vontade
vontade,anseios
anseios,brasileiro
brasileiro,temos
temos,missão
missão,iniciar
iniciar,travessia
travessia,tenebrosos
tenebrosos,criados
criados,vez
vez,atual
atual,governo
governo,braso
braso,voz
voz,Esperamos
Esperamos,futuro
futuro,povo
povo,brasileiro
brasileiro,lado
lado,remédios
remédios,amargos
amargos,atual
atual,governo
governo,obrigará
obrigará,tomar
tomar,temos
temos,certeza
certeza,gente
gente,brava
brava,gente
gente,brasileira
brasileira,furtará
furtará,sacrifícios
sacrifícios,furtará
furtará,deveres
deveres,cívicos
cívicos,senhores
senhores,homens
homens,revelam
revelam,tem
tem,poder
poder,tem
tem,medo
medo,atual
atual,governo
governo,revelou
revelou,poder
poder,revelou
revelou,medo
medo,perder
perder,poder
poder,senhores
senhores,percebe
percebe,sol
sol,liberdade
liberdade,pode
pode,voltar
voltar,brilhar
brilhar,céu
céu,pátria
pátria,raios
raios,fidos
