#Sentença,Texto da Sentença,Polaridade,Subjetividade
254,tivemos defendo cometeram atos ilícitos punidos destaco trabalho,0.0,0.0
255,realizado justiça vem mostrando pessoas cometem crimes cidadão comum,0.0,0.0
256,poderão investigados,0.0,0.0
257,país vem passando sérios problemas econômicos governo conseguiu dar resposta promover mudanças vemos queda renda inflação presidente tem condições reverter quadro precisamos mudanças urgentes aproveita momento fazer apelo apelo nome,0.0,0.0
258,Nordeste sertanejos vier governar país mantenha fortaleça programas sociais principais,0.0,0.0
259,ações beneficiam povo pobre país entendimento reuniu bancada executiva nacional decidiu maioria absoluta orientar deputados casa C impeach dando basta reescrevendo nova história orientação discutirmos assunto internamente ouvindo especialistas jurídicos ouvir bases lideranças partido poderia diferente apontada,0.0,0.0
260,Deputado petebista relator,0.0,0.0
261,Deputado,0.0,0.0
262,Arantes orientando impeachment favor boa política voto conquistado peso vi estudei refleti agradeço centenas ligações milhares,0.0,0.0
263,mensagens carinho apoio recebi últimas semanas peço desculpas acham equivocado torço continuarei trabalhando possa voltar crescer obrigado quiser vivendo realidade diferente senhor presidente tempo queria saudar presença importante começou luta época salão,0.0,0.0
264,Presidente líder jova gantes presente acavando petrolão começou comer salão fundo penção petrolão resposta casa dar cometeram crime responsabilidade quer pedaladas fiscais questão orçamentária ruas esperam manifestação aguardam opação decisão plenário temos alternativa acabar crise política resolver crise econômica acabar recessão disse campanha mecher direito trabalhadores disse pior é vaca tusu indo brejo luta política tenho certeza luta começou salão sgio vaiar questão relatoria petrolão daremos resposta população espera população tem confiança casa podem dizer querem dizer congresso,0.0,0.0
265,congresso,0.0,0.0
266,vale,0.0,0.0
267,dará resposta impitma chamo senhor presidente,0.0,0.0
268,colegas deputados brasileiros brasileiras venho tarde dizer mais vez chamados responsabilidade homem mulher escuta assiste sabe país adversidades país costumes país,0.0,0.0
269,continentes conseguimos superar momentos difíceis vivemos país conseguiu passar guerras confrontos sabem lutas grandes tivemos revolta alfaiates inconfidência mineira revoluções aada querido estado guerra sul,0.0,0.0
270,país famosas diretas povo rua vez chegamos posse,0.0,0.0
271,Parlamento estudou aprovou carta constituinte discurso posse,0.0,0.0
272,Presidente disse ecoaram ruas ouviu ruas nação queria mudar nação,0.0,0.0
273,Precisava mudar fazer parte passaram-se meses ano outubro discurso promulgação disse povo brasileiro disse carta perfeita perfeita admitia reformas admitia melhorada,0.0,0.0
274,dizia povo brasileiro congressistas respeitar discordar podemos podemos coisas rasgá-la traí-la lembrou momento povo brasileiro adentrava entradas complexo arquitetônico pessoas tinham direito contribuir dar sugestões formarmos carta veio mais vez contribuir fazer parte história tivemos lado povo brasileiro momento É lembramos verdadeiros heróis,0.0,0.0
275,iam admitir constitui rasgada brasileiros defenderam vida,0.0,0.0
276,defenderam honra posições orgulharam verdadeiro trabalhismo,0.0,0.0
277,sabemos custa luta tirania luta grande momento momento dizer ter Vencedor vencido sabe povo perdemos perdemos ter capacidade cumprir constituição risca dando escola qualidade paraas crianças saúde povo educação gente traímos constituição distribuir renda taxar grandes fortunas poderosos ganham ganham povo,0.0,0.0
278,Trabalhador brigamos taxar bancos lutamos favor,0.0,0.0
279,Trabalhador tivemos trincheira defender direito aposentado trabalhador país venho assistindo ouvindo dizer dar contribuição lançando candidatura própria entendemos temos quadros suficientes história contar luta vai faltar lançar candidato presidente república,0.0,0.0
280,Esperamos dia urna iremos defender constituição dia elei iremos defender votar impit ficar dizendo amigo amiga dizendo brasileiro brasileira brasileiros convido plenário dizer brasileiro solidariedade fazer fala senhor presidente senhoras,0.0,0.0
281,senhores,0.0,0.0
282,deputados,0.0,0.0
283,repõe tempo,0.0,0.0
284,solidariedade favor momento deputados fazem gritos guerra plenário gritando favor impeach impeach momento dividem deputados assinalaram presença plenário casa,0.0,0.0
285,Deputado gencias senhor presidente senhoras,0.0,0.0
286,senhores deputados brasileiro,0.0,0.0
287,assiste momento histórico,0.0,0.0
288,ten observado dear tenho dúvidas discursos atendo relatório deputado fez ter certeza crimes praticados presidente cometeu crime responsabilidade fiscalis congresso nacional observa discursos governo falta argumento invés buscar convencimento crimes denunciado praticados,0.0,0.0
289,continuam lorota golpe insiste atacar vice tem presidente casa presidente ataques presidente casa in,0.0,0.0
290,sentasse senhora Presidente há há golpe ter julgamento,0.0,0.0
291,justo convicção voto impítima presidente praticado traiu população brasileira maior estonado político praticado,0.0,0.0
292,país enganou vendendo país fortalecido passava peça publicitária mentirosa custo alto resultado saiu resultado eleições vem tarifo aumento energia elétrica,0.0,0.0
293,aumento combustíveis crise política crise econômica crise ética crise moral falar falência setor saúde pais família filhos braços vive agonizar filas hospitais falência total saúde pública brasileira crise crise ética senhor presidente queria proferir discurso preparei falar comprometi presidente partido encender parte tempo falar queria saudar bancada bancada solidariedade agradecer unanimemente votar favor impitma livrarmos país crimes cometidos maior brasileiros solidariedade vota querida vivo doeria quero saudar amigos deputados ruas dizer primeiro partido pedir impit fevereiro saudar amigo desistiram dia histórico dia sear tirar presidente quê governo levou país maior crise história desemprego empresas fechando roubo generalizado queria aproveitar minuto tenho pedir pessoal deputados levantar pouquinho levanta pessoal queria pedir brasileiros ruas pedir brasileiros casa gente favor interrompa favor interrompa Deputado favor interrompa conceder peço respeito orador ficar prorrogando respeito orador minuto excelência zer dá minuto quero reponha minuto queria brasileiros inteiro casa pudesse Cantar musiquinha começou processo vai quer leve vagabundos vai quer leve vagabundos vai quer leve vagabundos vai quer leve vagabundos peço mais vez mais vez quero alertar dei minuto exato cortei segundos quero pedir orador tenha lado tipo combinamos tipo manifestação usar orador sequência fiquem falar gentileza fiquem combinado colocamos primeiro momento chamo chamo senhor presidente senhoras senhores,0.0,0.5
294,deputados brasileiros trabalhadores sonhamos país melhor saí casa passei quarto filhos anos,0.0,0.0
295,C dormindo semblantes inocentes característico,0.0,0.0
296,Crianças imaginei sonhando deparei realidade iremos viver domingo casa veio ombros responsabilidade decidirmos entregar pensei milhares mães espalhadas norte,0.0,0.0
297,sul país vivem sonhando vida paraos filhos dias pergunto,0.0,0.0
298,2:12:45 aceitar tirem sonho povo sistema surdo atrasará esperança,0.0,0.0
299,vi pessoas descontentes povo desiludido distante jurou representar brasileiros parte ruas mesmo grito ecoa repetido direta protestos cara pintada voltou manifestações vivo vivo tempo filhos acreditamos podemos mudar juntos curar surdez política deixar povo decidir futuro ter chaves abrir portas velada visão Povo povo povo democracia esquecida virtude pública retorno verdadeira justiça social,0.03333333333333333,0.06666666666666667
300,queremos vencer ruas queremos transformar indignação mudança impit queremos ver nascer país nova política derrube muro mentiras ruas diga representam queremos pedindo anos transparência participação democracia direta lutamos novo olhar futuro nova resposta jovem acredita bandeira partidos fim silêncio bons honestos oportunidade passar limpo respeitar leis ouvir vozes vem ruas oportunidade banir vez cultura corrupção pune maneira cruel brasileiros senhor presidente diálogo bancada inafastável respeito democracia divergência opinião decidimos lado maioria brasileiros orientamos deputados mães famílias jovens amam país digam voto senhor presidente voto impeachment podemos mudar obrigada senhor presidente voto voto voz povo geração próximas virão esquecerão roubalheira voto corrupção vota impeachment,-1.0,1.0
301,Estado situação ruim,0.0,0.0
302,santas casas geração empregos pior problema relacionado diminuição setor educação votamos dúvida começa tempo liderança fala deputado senhor presidente senhoras deputadas senhores deputados situação surreal presidenta pesa,0.25,1.0
303,denúncia ato ilícito tem mandato ameaçado conspir corruptos liderada excelência,0.0,0.0
304,Deputado dignifica cadeira ocupa hora cadeira ocupada conspir presidente,0.0,0.0
305,está debates feitos tarde fala relatório apresentado,0.0,0.0
306,Deputado joví sabem há fato há crime possível constituição cidadã elaborada plenário luta acompanhamento ruas constituição possível admitir processo impitma presidenta recebeu votos brasileiros,0.0,0.0
307,fazem debate político entrar debate político querem transformar plenário colégio eleitoral colégio eleitoral parlamentarismo há voto desconfiança legitima acesso poder voto popular querem usurpar tentam fazer debate político passando ideia necessário encontrar país país crise crise econômica crise política impitma encontraríamos saída saída saída governo ilegítimo governo governo votos saída povo foi ruas pediu quer governo perfil agenda,0.6,0.9
308,Qual agenda governo nasce maculado mancha ilegitimidade agenda futuro túnel passado agenda retrocesso,0.0,0.0
309,agenda estado mínimo agenda desconfiam pacto impedir corruptos sentad cadeira possam punidos falam vislumbra entendimento torno lava-jato governo governo dará tranquilidade brasileiros long governo levará tranquilidade tem legitimidade governo exceção tem agenda tem interlocução movimento social tem base política dirigente conspirador vice-presidente,-0.27222222222222225,0.48888888888888893
310,República respeito tem glorioso consegue unificar próprio partido base governo poderia dirigir processo caminho caminho aprofundamento crise caminho agravamento crise política crise econômica país quero dirigir ruas desejam defender brasileira defend estado direito ganhar batalha golpe passará luta continuar abraço momento tempo senhor presidente senhoras senhores deputados primeiras palavras senhor presidente agradecimento permitir pudéssemos momento histórico atravessa agradecer executiva nacional bancada,-0.8,1.0
311,Manteve firme luta vota unânime unida impeachment agradecer família sergipanas sergipanos nação brasileira dizer presenciando momentos marcantes democracia atual povo brasileiro ruas pedir basta errado acontecendo grito aclamados brasileiros ruas capitais cidade distantes rincões país gritos revoltados gritos povo aguenta inconformados estão arruinados irresponsabilidade governo desumano recado dado forma povo gente fazer papel obrigação decidir futuro nação vivendo momento,0.0,0.0
312,difíceis crises econômicas história vivenciando maior escândalo corrupção história republicana brasileira ponto vista jurídico bases legais,0.0,0.0
313,falam dividido forças antagônicas lado lado brasileiros esperam possamos viver novo tempo lado minoria ruidosa raivosa quer perpetuar poder abraçada projeto político falido acabou dar basta definitivo chegou hora hora grande decisão ficar lado brasileiros lotam país,0.0,0.0
314,Nordeste avenida ficar lado governo comprometido malfeito avesso diálogo destinado fracasso econômico fracasso moral impeachment legal reafirmou disse início fala domingo,0.1,0.225
315,faremos história decidir futuro nação história presente futuro presente olhar amigos conterrâneos elegeram paraas famílias altivez dizer futuro podermos ter certeza escrevendo belas páginas história disser vai contramão fracasso acovardaram poder ficar lado projeto poder falido país aprovado processo senado passaremos momento reconstrução,0.0,0.0
316,Nacional,0.0,0.0
317,esperanças voltam presidente missão pacificar reunir brasileiros contará total restrito apoio bancada passou casa anos,0.0,0.75
318,Presidente poder vezes reúne qualidades políticas indispensáveis juntos construir ponte futuro depende Nosa consciência ama país ama nação ama veste verde amarelo cor vermelho é cor verde amarelo dizendo futuro país dizendo crianças adolescentes jovens dizendo idosos dizendo bancada vota impit viva acompanha sessão votação parecer pede abertura processo impeach presidente Dilma fique falar fez pronunciamento partido fazer orientação voto tem representação senhor presidente dia setembro deputado federal fundador Nacional votando impeachment presidente color Volto votar impeach presidente passamos últimas horas plenário exaurindo fundamentos enfrentamos falácias governo demonstramos violação lei crimes responsabilidade podem cometidos detem poder citamos deixando gravidade fraudes fiscais perversidade adoção economia povo brasileiro reeleita presidente praticou política criminosa falsear contas públicas cumprir 2:29:02 promessas eleitorais culminou tragédia abateu nação destruição indústria nacional falência milhares empresas admissão trabalhadores grave governo destruiu valor moeda destruiu sonho brasileiros,0.0,0.0
319,dever Parlamento soltar,0.0,0.0
320,gro chega,0.0,0.0
321,demagogia populismo brasileiro quer enganado todos dias mandatários,0.0,0.0
322,ter emprego renda levar vida sustentar família,0.0,0.0
323,impit presidente pical lul afastamento,0.0,0.0
324,década caracterizada incompetência administrativa aparelhamento estado roubalheira generalizada corrupção associada marca,0.0,0.0
325,faz parte indissociável hora retirar organização criminosa poder trabalhar entregantes punidos repita,0.0,0.0
326,chegou hora virar página aprender lição história presid presidente caindo verdade conjunto obra perdeu autoridade moral cargo chefe estado exige praticou estelionato eleitoral reeleger campanhas irrigadas dinheiro sujo contratos superfaturados obras empresas estatais praticou fraudes fiscais afrontou acobertou tráfico influência omitiu-se rede corrupção tentou obstruir justiça libertar presos operação lavajato faltou decoro perdeu legitimidade modelo petista exauriu populismo fisiologismo encarar futuro perspectiva plano economia queou plano época plano ética alar gerações futuras comprometimento pleno funcionamento instituições único caminho fortalecer democracia coragem brasileiros retomar sonhos reerguer phs senhor presidente senhoras senhores deputados nação brasileira ass momento phs partido mostra democracia entrar phs saindo convicções otido unanimidade assumi posi aborto,0.0,0.25
327,eutanásia infanticídio ideologia gênero,0.0,0.0
328,partido senhores deputados fecham questão momento,0.0,0.0
329,temas caros cristãos partido dizia determinadas situações liberava bancada tomar posição entendesse era questões trazíamos compromisso bases,0.0,0.0
330,questões humanitárias dizíamos gestor tiver dinheiro construir ponte estrada faltar dinheiro salvar vida pare estrada vida importante estrada partido humanista tem pram poré momento,0.0,0.0
331,vive decidiremos,0.0,0.0
332,Presidente fica,0.0,0.0
333,Presidente sai partido,0.0,0.0
334,reuniu executiva reuniu deputados deputados federal partido tomou decisão partido votará democracia bom imagina líder partido vota favor impeachment,0.0,0.0
335,partido disse posso deixar deputado caribou situação difícil sabe história passado compromisso liberaram votar votarei favor impeachment senhores deputados,0.0,0.0
336,partido humanista deputado votará favor deputado companheiro deora votará favor deputado aro votará favor deputado votará favor impit deputado votará favor impit deputado federal euco votará favor quero agradecer partido entender posição dizendo situação juiz juízo respeitando é bonito,0.0,0.0
337,podemos discordar pensar jeito precisa brigar precisa rasgar respeita opinião continuarei lder situação é bonito democracia Obrigado comp deputados federais,0.0,0.0
338,dá exemplo pode melhor for povo possa abençoar iluminar mente vota consciência mandar achar entender deve votar jeito votte achar vote estaremos estive estive disse história disse tenho direito pedir voto sei história,0.0,0.0
339,Parabéns abençoe,0.0,0.0
340,chamo minutos então deputado galdo cão falando liderança phs phs partido falar dar orientação voto sessão votação admissibilidade processo deach presidente rse momento fala Deputado filho liderança momento fácil país atravessa momento difíc,0.0,0.0
341,homens,0.0,0.0
342,mulheres gostaríamos passando momento realidade impõe realidade tomou decisão decisão última hora decisão faz dias unanimidade favor impeachment encaminhamento momento dou passando palavra deputado gosto senhor presidente senhoras senhores,0.0,0.0
343,deputados,0.0,0.0
344,colegas amigos encontramos recinto independente,0.0,0.0
345,lados temos concordância ponto experimentamos momento histórico país nesses momentos históricos,0.0,0.0
346,homens mulheres revelam mostram fato quero dizer honra combater bom combate lado vossas excelências códigos honra contemporâneos reconhecidos mentes corações atitudes representantes povo brasileiro dia senhores há anos inspirados honra atravesse amada aberta vontade anseios povo brasileiro temos missão iniciar travessia tenebrosos criados vez atual governo braso voz Esperamos,0.0,0.0
347,futuro,0.0,0.0
348,povo brasileiro lado remédios amargos atual governo obrigará tomar,0.0,0.0
349,temos certeza gente brava gente brasileira furtará sacrifícios furtará deveres cívicos senhores homens revelam tem poder tem medo atual governo revelou poder revelou medo perder poder senhores percebe sol liberdade pode voltar brilhar céu pátria vez raios fidos bancada senhoras senhores verdade precisa orientação sabe deve fazer sabe presidente cometeu crime responsabilidade lugar julgar votaremos impeachment chamo pessoal senhor presidente senhoras,0.0,0.0
350,senhores deputados primeiro lugar queria saudar valorosa combativa ética bancada pessol votará unida,0.0,0.0
351,sabe valor democracia tenho honra representar momento quero dizer revista exame semana publica matéria intitulada recebeu propina,0.0,0.0
352,deais vezes,0.0,0.0
353,delator continua balançando pança comandando massa 2:41:12 segue orientação casa espetáculo deslegitima processo impeachment degrada conta apoio parlamentares covardia governo oportunismo cinismo oposição direita permitiram chegasse pedido impedimento presidente crime responsabilidade dar questão contábil pedaladas fiscais povo,0.0,0.0
354,sabe é tentar caçá-la conjunto obra pessoal,0.0,0.0
355,partido oposição esquerda independente cargos benes governamenta quer denunciar curso ruptura estado democrático direito golpe institucional feito tenebrosas transações grande capital golpistas fesp partidos oposição conservadora embalados grande mídia brasileira querem entronizar presidência república poder temer teve,0.0,0.0
356,Presidente tem intenções voto população rejeitam querem impítima verdade assinou pedaladas fiscais,0.0,0.0
357,presidente temos frente retrocesso liberd direitos civis comandadas reacionários,0.0,0.0
358,apoiam proposta neoliberal economia fará felicidade banqueiros etias sacrifícios classe trabalhadora brasileira trata passar í farça teremos governo ilegítimo,0.0,0.0
359,Popular credibilidade tem pesadas acusações lava jato fraude pessoal quer punição corruptos corruptores chamo senhor presidente senhoras,0.6,0.9
360,senhores,0.0,0.0
361,deputados momento vem homar momento momento favor Deputado,0.0,0.0
362,Deputado momento repor tempo peço respeito orador respeitado anterior repõe tempo favor senhor presidente senhoras,0.0,0.0
363,senhores deputados venho peso representar partido momento pris esforço conversas,0.0,0.0
364,decidimos votar destaco membros membros partid,0.0,0.0
365,Líder estare votando votar estará membros conseguimos terminar conversa deputado respeitamos posição votando votando senhor presidente venho dizer admito diga há golpe constituição brasileira artigo legitima sessão artigo legitima posse vice-presidente teve mesmo número voto principal candidata vice-presidente apresentado chapa apresentado momentos crise momentos necessário vice-presidente ocupe cadeira,0.0,0.0
366,Presidente há golpe garante respalda ato venho senhor presidente representando frente parlamentar evangélica lutado casa agenda esquerda quer destruir família brasileira temos deputados aguerridos venho homenagear bancada,0.0,0.0
367,Federais exceção deputada,0.0,0.0
368,Érica cocai favor golpe favor venho senhor presidente homenagear quer senhor presidente quer impitma venho dizer senhoras senhores,0.0,0.0
369,estão rua garante ato golpe sabe aparecendo negócio golpe golpe golpe golpe golpe golpe aparecendo,0.0,0.0
370,sabe quê diarreia verbal suporta suporta decisão negará decisão respeitando deputado deputado deputado histórico nação respeitamos posição lado apresenta igual fugir reunião fugir sessão corruptos virando costas população brasileira impit tarde,0.0,0.0
371,Deputado permitido tipo crítica seja opinião citação sessão normal,0.15,0.6499999999999999
372,gente possa dar direito debate pediria citasse tenho dar minuto,0.0,0.0
373,Aplausos,0.0,0.0
374,deputado conversa parlamentares parlamentares reivindicam direito resposta deputada,0.0,0.0
375,Érica citada discurso líder deputada falar minut segundos cortar segundos dado pa país ódio querem destampar lógica intolerância lógica fascista recolhida peso custou brasileira brasileiras venham dizer tentar rasgar constituição respeitá-la tentar rasgar constituição quer implementar golpe tem democracia suficie forte dizer traidores fascistas usurpadores direito poder,0.0,0.0
376,maiores,0.0,0.0
377,chamo rede chamo rede videm gritos favor impeach presidente ressaltar deputados contendo imagens parte acontecendo manifestações favor pedido impeach polícia militar manifestantes favor posição favorável tomada maioria direção Nacional rede entanto bancada tema razão liberada parlamentar vote acordo consciência defender posição pessoal contrária impit quero lembrar unifica rede divisão desejo julgamento,0.0,0.0
378,justo sério apuradas denúncias uso recursos ilícitos,0.0,0.0
379,2:51:23 eleições passadas ponto senhor presidente unifica certeza processo gravidade poderia presidido réu deputado réu corrupção réu lavagem dinheiro prova mostra acontecendo tarde tem ver combate corrupção tivesse coisa ver combate corrupção líder processo deputado processo tem ver chantagem atendida levou vingança processo rede apresentou PSOL reclamação conselho ética pedindo deputado caçado entanto dias passaram marcados recursos manobras renúncias,0.0,0.0
380,substituições conselho ética,0.0,0.0
381,casa troca relator abertura indevida dia impedir funcionamento ética,0.0,0.0
382,sabotagens depoimento tentativa mudança mudar composição,0.0,0.0
383,Conselho ética pressões ameaças evitar caçado pergunte tem ver processo impeachment,0.0,0.0
384,coisas ligadas senhoras senhores acompanham casas verão verdade caçado prepara casa contrapartida prêmio liderado processo impeachment é poupado caçado lutar preparado casa impunidade deve combatida processo impeach esvaziar lava-jato excelências apoiam apoiam razão acompanham casa verão decorrer tempo quero terminar senhor presidente dizendo seguinte medida grave desfazer decisão eleitor desfazer urnas construíram tirar eleito mandato pode feito situações excepcionais previstas caso processo impeachment há parecer relator crime responsabilidade provado decretos abertura crédito suplementar violaram lei orçamentária,0.0,0.0
385,atraso repasses constitui operação crédito jogo defender governo maior defender democracia direito povo brasileiro escolher governá-lo casa casa pode escolher governar poderia escolhido parlamentarismo escolheu presidencialismo há respeitar decisão urnas prove crime responsabilidade,0.0,0.0
386,ocorreu fato senhor presidente aqui escolher entrar história disse há verdade tomei decisão entrar história seguiu consciência soube colocar pressões ameaças chant promessas coisa seguir consciência deve juiz processo juiz justo acordo consciência move processo lugar entrar história move processo porta quer entrar Planalto porta frente rampa eleitos ser,0.0,0.0
387,Fundos traidores digo impeach defesa democracia obrigado chamo,0.0,0.0
388,Lembrando partidos t liderança tem tempo semana minutos som senhores deputados,0.0,0.0
389,senhoras,0.0,0.0
390,deputadas rápido quer assumir poder tentando assumir poder partido coja repetir tentando assumir poder partido coja canalha saiu agorao saiu bandido ladrão ficou canalha devia est preso país país bandido homem devia est cadeia quer tirar mandado mulher honrada mulher digna disse repetir oposição tem moral tem ética agredir presidente líder vocês tem moral homem limpo tenho processo desmoralizados fazer maior delação premiada mundo levar reféns mostrar ganharam mostrar confiram placar confiram começar Roraima anote democracia tem voto anotem placar ganhar votos gente tem voto temos votos temos votos temos votos podemos chegar parar temos votos temos votos podemos chegar medo ol medo medo medo pular pular confiram placar perderam,0.0,0.25
391,estado estado povo tem alma povo dig oit votos confiram golpistas vocês noite ofereceram cara nojo ofereceram ofereceram ofereceram perderam perderam amigos pediu coisa heróis heróis começar ganhando ganhando chegar perder voto emoção viva chamo psl deputado falando liderança,0.0,0.0
392,B momento deputados manifestam plenário discurso inflamado sub ressaltar deputados registraram presença plenário acompanha momento sessão deliberar respeito admissibilidade pedido impeach presidente brasileira assiste acompanha momento histórico fatos senhoras senhores há argumentos fatos irrefutáveis presidente honrou cometeu crime zelou contas,0.0,0.0
393,República contas públicas gastou autorização congresso nacional fato verídico fato deu consequência grave realidade desenfreada aadministração governo federal criou verdadeiro caos econômico,0.0,0.0
394,País fábricas fecharam comércio trocou placas promoção placas aluga-se vende-se milhares milhares brasileiros perderam empregos perderam esperanç perderam alento discutindo fato impedimento admissibilidade impeachment presidente rff fato jurídico fato vida real situação país vive função administração curto prazo desestabilizou economia tirou rating agências eh avaliação mundo inteiro economia acabou desgr,0.2,0.30000000000000004
395,olando democracia permite erros cometemos passado recente elegendo presidente atual democracia integrantes,0.0,0.0
396,deputados eleitos voto popular direto trazido voto tem oportunidade fazer correção aprovando admissibilidade impeachment levando,0.6,0.9
397,Senado afastamento definitivo presidente rosef precisamos esperança povo brasileiro quer problema economia instalou-se últimos anos oligarquia sistema fechado patrocinou benesses possíveis variáveis possíveis milhares milheres apaniguados apadrinhados 3:05:27 beneficiados queremos mudança economia educação qualidade existiu saúde deixa brasileiros merc própria sorte corrupção instalou país discutindo corrupção consequência governo soube honrar qualificação brasileiros deram nome povo nome pessoal pequeno grande partido tem vereadores prefeitos vice-prefeitos deputados estaduais tem deputado damina queremos dizer votar impeachment presidente juramento constituição governabilidade credibilidade votamos impeach chamo pen,0.0,0.0
398,partido senhor presidente,0.0,0.0
399,senhores deputados gostaria falar Maranhão grandiosa cidade curumbim tenho grandes respeitos paixão,0.0,0.0
400,processo bamento jurídico grande amigo relator relatório reflete querendo fazer relatrio relatório pior hipóteses feitos presidentes aprovação simples ressalva comprometimento democracia fazendo relatório povo brasileiro precisa saber tem substâncias necessárias colocar 3:07:56 país divisão colocar país crise profunda alongada quero falar povo brasileiro acontecendo casa é fragilidade políticos irresponsabilidade impopularidade políticos pegando cabeça presidente república colocando bel prazer sociedade brasileira fazermos fazendo julgamento meramente político casa lamento acontecendo pior hipóteses poderíamos chamando convocando nova eleição possamos legitimamente presidente,0.0,0.0
401,Eleita presidente eleito presidente eleito possamos eleger,0.0,0.0
402,Presidente tirar força mandato legítimo legal feito povo brasileiro partido pen tem divergências necessárias bancada liberada votar queira voto consciência voto posição,0.2,0.2
403,aprendi pai aprendi mãe ter posição formada ter postura ter ideia ter caráter decisões serei convicto,0.0,0.0
404,defendo defendo acredito vida foiada filho professora criou família constituiu netos formamos grande família milito orgulho vida política mãos,0.0,0.0
405,Povo cidade povo amigo,0.0,0.0
406,Rosso amigo companheiro reuniões amigos viram fugir postura momento firme postura correto sincero pretendo caminhada longo vida tenho filhos seguir exemplo segui exemplo pais quero dizer sair vitoriosos democracia vencer democracia validada povo rua povo rua pensem acontecendo vendo mero acordo político destituir presidente,0.0,0.0
407,Eleita tivermos fazer democrático senhor presidente,0.0,0.0
408,senhores amigos convocar novas eleições fazer povo rua voltasse urnas eletrônicas escolhesse candidato vir ocupar cargo maneira absurda fazendo digo tenho vice-presidente,0.0,0.0
409,República 3:11:10 respeito respeito vejo ilegitimidade fragilidade fragilidade acusação separ mandato presidente república amigos vida segue vitória faço apelo dar mãos juntar unir gente possa sociedade gente possa levar benefícios perdendo emprego precisando trabalho precisando pagar contas precisando resolver problemas vida ficarmos discutindo poder briga poder disputa poder vergonhoso é digo repito formos destituir presidente república impopularidade destituir governo governos estaduais tirar prefeitos impopulares fechar temos credibilidade conduzir país obrigado pmb gostaria saudar momento difícil país país dividido sentimento ódio intolerância próprio cultura povo brasileiro falei gostaria repetir separar joio trigo podemos jogar água suja,0.0,0.0
410,bacia criança temos separar representou primeiros mandatos presidente separar representou primeiro mandato presidente inegável presidente tirou pessoas linha pobreza país anos governo construção cidade pública federal fechou cursos técnicos profissionalizantes período aconteceu governo presidente abriu universidades federais pessoas tiveram acesso universidade aumentou número vagas escolas públicas teve pro teve pratec bolsa família programa garantiu pessoas simples tiverem acesso casa própria gente reconhecer legado mandato presidente atual indefensável indefensável presidente fez economia sério grave grave sério retroagindo avanços tiveram tiveram primeiros mandatos retroagindo dar exemplo relação questão programa velhíssimo jovens puderam fazer inscrição semestre reduziu valores aplicados programa casa vida programa aceleração crescimento fundamental,0.0,0.0
411,país paralisou temos um4 liga obras parada tem áreas obras perímetro urbano triângulo mineiro paralisadas mesma maneira rodovia Morte obras importantes país duplicação paralisado anel rodoviário metrô,0.0,0.0
412,região,0.0,0.0
413,eh região metropolitana realidade regiões país,0.0,0.0
414,realidade,0.0,0.0
415,regiões país sabemos saída país temer saída nossoo país tema cunha saída país pacificar ter novas eleições constituinte exclusiva fazer reforma política,0.0,0.0
416,novas eleições tenho dúvida saída exclusiva votando disabil processo definir julgar analisar teve indícios crime responsabilidade é decidir teve crime teve crime responsabilidade paraa presidente fez economia sério tenho dúvida proporções diferentes tem crime responsabilidade temer deveria julgado mesmo processo espero presidente tem mesmo procedimento processo mesma maneira andando presidente tem crime responsabilidade tem temer teve crime responsabilidade governador alkm teve crime responsabilidade governo pros governos anteriores tem crime responsabilidade governador cumpriu determinava constituição aplicação mínima determina legislação saúde educação merenda escolar travava recursos merenda gente tinha entrar justiça deixava recursos aplicar bancos,0.0,0.0
417,Crianças merenda tenho dúvida teve crime responsabilidade teve crime responsabilidade queria denunciar repudiar negociações cargo vista feito governo deplorável deplorável negociações cargo feita verdadeiro absurdo gente pode aceitar podemos admitir maneira tema é filme terror aproveitou momento fragilidade governo aproveitou imunidade governo vírus imunidade cai vírus vai espalha contagia contaminou contaminou casa caiu abduzido colocado partido trabalhadores colocou partido trabalhadores,0.0,0.0
418,tenho certeza absoluta,0.0,0.0
419,alternativa país cartão vermelho presidente cartão vermelho vice-presidente cartão vermelho presidente,0.0,0.0
420,Câmara deveria,0.0,0.0
421,est presidindo sessão saída país pacificar constituinte exclusiva fazer reforma política,0.0,0.0
422,novas eleições voto voto,0.0,0.0
423,Eh minoria minoria minoria senhor presidente senhor presidente senhores senhoras deputadas horas horas iremos definir voto futuro vezes tarefa importância igual tivemos história assembleias,0.0,0.0
424,Coube decidir afastamento chefe estado responsabilidade maior nação viveu tormentos vive presente pior dia situação,0.0,0.0
425,agrava hora brasileiros perdem emprego há canto país possa vislumbrar rosto pessoas único sinal esperança,0.0,0.0
426,Senor,0.0,0.0
427,senores deputados julgando natureza crimes cometidos,0.0,0.0
428,presidente presentes manchetes jornais estamos decidir voto Câmara,0.0,0.0
429,Senado,0.0,0.0
430,futuro país destroçado destroçado presidente república arrogância humilhou Parlamento governou costas povo esperava liderança dias melhores vida melhor recebeu troca engodo mistificação mentira sistemática fidelidade senhor presidente nação tacanha ideia construindo projeto diz consequências insensatez tem fazem parte paisagem brasileira visíveis quer ação desesperadora dependem sistema público saúde sucateamento conquista gerações aparelhamento,0.0,0.0
431,instituições assalto planejado organizado sistemático recursos públicos quebrou,0.0,0.0
